performance_id,title,performance_type,location,period,performance_time,age_requirement
23008837,레베카,뮤지컬,장소블루스퀘어 신한카드홀(자세히),"공연기간
2023.08.19 ~2023.11.19","공연시간
175분(인터미션 20분 포함)","관람연령
8세이상 관람가능"
24001487,브론테,뮤지컬,장소링크아트센터드림 드림1관(자세히),"공연기간
2024.03.04 ~2024.06.02","공연시간
100분","관람연령
초등학생이상 관람가"
23001653#,영웅,뮤지컬,장소블루스퀘어 신한카드홀(자세히),"공연기간
2023.03.17 ~2023.05.21","공연시간
160분(인터미션 20분 포함)","관람연령
8세이상 관람가능"
24001224,오즈,뮤지컬,장소대학로 TOM(티오엠) 2관(자세히),"공연기간
2024.02.27 ~2024.05.06","공연시간
100분","관람연령
8세이상 관람가능"
24002031,웨스턴 스토리,뮤지컬,장소인터파크 유니플렉스 1관(자세히),"공연기간
2024.03.13 ~2024.06.09","공연시간
145분(인터미션 15분 포함)","관람연령
14세 이상 관람가"
22001159,늘근도둑이야기,연극,장소대학로 아트포레스트 1관(자세히),"공연기간
2022.03.05 ~2024.05.31","공연시간
100분","관람연령
12세이상"
24000171,라면,연극,장소대학로 해피씨어터(자세히),"공연기간
2024.02.01 ~2024.05.31","공연시간
100분","관람연령
만 11세이상"
19018229#,쉬어매드니스,연극,장소콘텐츠박스(KONTENTZ BOX)(자세히),"공연기간
2015.11.12 ~오픈런","공연시간
110분(인터미션 7분 포함)","관람연령
만 15세이상"
23008491,죽여주는 이야기,연극,장소지인시어터(구.알과핵소극장)(자세히),"공연기간
2023.07.01 ~오픈런","공연시간
100분","관람연령
8세이상 관람가능"
22014277#,한뼘사이,연극,장소라온아트홀(자세히),"공연기간
2017.03.01 ~오픈런","공연시간
100분","관람연령
만 12세이상"
