performance_id,title,performance_type,location,performance_time,age_requirement,start_date,end_date
23008837,레베카,뮤지컬,블루스퀘어 신한카드홀,175분(인터미션 20분 포함),8세이상 관람가능,2023.08.19,2023.11.19
24001487,브론테,뮤지컬,링크아트센터드림 드림1관,100분,초등학생이상 관람가,2024.03.04,2024.06.02
23001653#,영웅,뮤지컬,블루스퀘어 신한카드홀,160분(인터미션 20분 포함),8세이상 관람가능,2023.03.17,2023.05.21
24001224,오즈,뮤지컬,대학로 TOM(티오엠) 2관,100분,8세이상 관람가능,2024.02.27,2024.05.06
24002031,웨스턴 스토리,뮤지컬,인터파크 유니플렉스 1관,145분(인터미션 15분 포함),14세 이상 관람가,2024.03.13,2024.06.09
22001159,늘근도둑이야기,연극,대학로 아트포레스트 1관,100분,12세이상,2022.03.05,2024.05.31
19018229#,쉬어매드니스,연극,콘텐츠박스(KONTENTZ BOX),110분(인터미션 7분 포함),만 15세이상,2015.11.12,오픈런
24000171,연극 라면,연극,대학로 해피씨어터,100분,만 11세이상,2024.02.01,2024.05.31
23008491,죽여주는 이야기,연극,지인시어터(구.알과핵소극장),100분,8세이상 관람가능,2023.07.01,오픈런
22014277#,한뼘사이,연극,라온아트홀,100분,만 12세이상,2017.03.01,오픈런
